player,pos,salary,team
Jeff Keppinger,2B,3500000,CHA
Gordon Beckham,2B,2925000,CHA
Dayan Viciedo,LF,2800000,CHA
Matt Lindstrom,RP,2300000,CHA
Alejandro De Aza,LF,2075000,CHA
Chris Sale,SP,850000,CHA
Dewayne Wise,CF,7.00E+05,CHA
Addison Reed,RP,520000,CHA
Tyler Flowers,C,510000,CHA
Nathan Jones,RP,507500,CHA
Angel Sanchez,2B,505000,CHA
Hector Santiago,RP,505000,CHA
Jose Quintana,SP,5.00E+05,CHA
Donnie Veal,RP,497500,CHA
Hector Gimenez,C,493000,CHA
Dylan Axelrod,SP,493000,CHA
Leyson Septimo,DNP,493000,CHA
Conor Gillaspie,3B,490500,CHA
Alfonso Soriano,LF,1.90E+07,CHN
Edwin Jackson,SP,1.30E+07,CHN
Matt Garza,DNP,10250000,CHN
Carlos Marmol,RP,9800000,CHN
Scott Feldman,SP,6.00E+06,CHN
Starlin Castro,SS,5857143,CHN
Scott Baker,DNP,5500000,CHN
Carlos Villanueva,SP,5.00E+06,CHN
Kyuji Fujikawa,RP,4500000,CHN
David DeJesus,CF,4250000,CHN
Jeff Samardzija,SP,2640000,CHN
Scott Hairston,PH,2500000,CHN
Nate Schierholtz,RF,2250000,CHN
Ian Stewart,DNP,2.00E+06,CHN
Dioner Navarro,PH,1750000,CHN
Jorge Soler,DNP,1666667,CHN
Shawn Camp,RP,1350000,CHN
Gerardo Concepcion,DNP,1200000,CHN
James Russell,RP,1075000,CHN
Hisanori Takahashi,RP,1.00E+06,CHN
Luis Valbuena,3B,930000,CHN
Brent Lillibridge,2B,750000,CHN
Darwin Barney,2B,562000,CHN
Travis Wood,SP,527500,CHN
Michael Bowden,RP,509500,CHN
Welington Castillo,C,503000,CHN
Anthony Rizzo,1B,498000,CHN
Steve Clevenger,PH,496000,CHN
Dave Sappelt,CF,492000,CHN
Arodys Vizcaino,DNP,491000,CHN
Hector Rondon,RP,490000,CHN
John Lackey,SP,15950000,BOS
David Ortiz,DH,14500000,BOS
Ryan Dempster,SP,13250000,BOS
Shane Victorino,RF,1.30E+07,BOS
Jon Lester,SP,11625000,BOS
Dustin Pedroia,2B,10250000,BOS
Stephen Drew,SS,9500000,BOS
Jacoby Ellsbury,CF,9.00E+06,BOS
Joel Hanrahan,RP,7040000,BOS
Clay Buchholz,SP,5750000,BOS
Jonny Gomes,LF,5.00E+06,BOS
Mike Napoli,1B,5.00E+06,BOS
Jarrod Saltalamacchia,C,4500000,BOS
Koji Uehara,RP,4250000,BOS
Andrew Bailey,RP,4100000,BOS
David Ross,C,3100000,BOS
Alfredo Aceves,SP,2650000,BOS
Craig Breslow,RP,2325000,BOS
Jose Iglesias,SS,2062500,BOS
Franklin Morales,DNP,1487500,BOS
Andrew Miller,RP,1475000,BOS
Junichi Tazawa,RP,815000,BOS
Felix Doubront,SP,518500,BOS
Mike Carp,LF,508500,BOS
Daniel Nava,RF,505000,BOS
Clayton Mortensen,RP,504500,BOS
Pedro Ciriaco,SS,502500,BOS
Ryan Kalish,DNP,498000,BOS
Will Middlebrooks,3B,498000,BOS
Jackie Bradley,LF,490000,BOS
Nick Markakis,RF,15350000,BAL
Brian Roberts,2B,1.00E+07,BAL
Adam Jones,CF,8833334,BAL
J.J. Hardy,SS,7416667,BAL
Jason Hammel,SP,6750000,BAL
Jim Johnson,RP,6500000,BAL
Matt Wieters,C,5500000,BAL
Tsuyoshi Wada,DNP,4200000,BAL
Wei-Yin Chen,SP,3655333,BAL
Chris Davis,1B,3300000,BAL
Darren O'Day,RP,2200000,BAL
Nate McLouth,LF,2.00E+06,BAL
Wilson Betemit,DNP,2.00E+06,BAL
Tommy Hunter,RP,1820000,BAL
Alexi Casilla,2B,1700000,BAL
Brian Matusz,RP,1600000,BAL
Dylan Bundy,DNP,1245000,BAL
Luis Ayala,RP,1.00E+06,BAL
Nolan Reimold,DH,1.00E+06,BAL
Troy Patton,RP,815000,BAL
Steve Pearce,DH,7.00E+05,BAL
Taylor Teagarden,C,650000,BAL
Jake Arrieta,SP,516500,BAL
Chris Tillman,SP,508500,BAL
Pedro Strop,RP,502500,BAL
Miguel Gonzalez,SP,502000,BAL
Steve Johnson,SP,495000,BAL
Manny Machado,3B,495000,BAL
Ryan Flaherty,2B,493500,BAL
T.J. McFarland,RP,490000,BAL
Dan Uggla,2B,13200000,ATL
B.J. Upton,CF,13050000,ATL
Brian McCann,C,1.20E+07,ATL
Justin Upton,LF,9958333,ATL
Tim Hudson,SP,9.00E+06,ATL
Paul Maholm,SP,6500000,ATL
Eric O'Flaherty,RP,4320000,ATL
Jason Heyward,RF,3650000,ATL
Kris Medlen,SP,2600000,ATL
Chris Johnson,3B,2287500,ATL
Jonny Venters,DNP,1625000,ATL
Reed Johnson,PH,1600000,ATL
Gerald Laird,C,1500000,ATL
Cristhian Martinez,RP,749750,ATL
Paul Janish,DNP,725000,ATL
Craig Kimbrel,RP,655000,ATL
Freddie Freeman,1B,560000,ATL
Ramiro Pena,3B,550000,ATL
Jordan Walden,RP,541500,ATL
Jordan Schafer,RF,512500,ATL
Brandon Beachy,DNP,510000,ATL
Mike Minor,SP,505000,ATL
Juan Francisco,3B,496250,ATL
Cory Gearrin,RP,491250,ATL
Andrelton Simmons,SS,491250,ATL
Luis Avilan,RP,491250,ATL
Julio Teheran,SP,490000,ATL
Evan Gattis,C,490000,ATL
Anthony Varvaro,RP,490000,ATL
Heath Bell,RP,1.00E+07,ARI
Miguel Montero,C,1.00E+07,ARI
Jason Kubel,LF,7500000,ARI
Martin Prado,3B,7.00E+06,ARI
J.J. Putz,RP,6500000,ARI
Cody Ross,RF,6.00E+06,ARI
Trevor Cahill,SP,5700000,ARI
Aaron Hill,2B,5500000,ARI
Brandon McCarthy,SP,5250000,ARI
Ian Kennedy,SP,4265000,ARI
Brad Ziegler,RP,3150000,ARI
Eric Chavez,3B,3.00E+06,ARI
Gerardo Parra,RF,2350000,ARI
Willie Bloomquist,DNP,1900000,ARI
Cliff Pennington,SS,1750000,ARI
David Hernandez,RP,1375000,ARI
Tony Sipp,RP,1275000,ARI
Eric Hinske,PH,1075000,ARI
Wil Nieves,C,8.00E+05,ARI
Josh Wilson,2B,650000,ARI
Daniel Hudson,DNP,518500,ARI
Josh Collmenter,RP,504000,ARI
Wade Miley,SP,500500,ARI
Paul Goldschmidt,1B,5.00E+05,ARI
Patrick Corbin,SP,494000,ARI
Adam Eaton,DNP,491000,ARI
Didi Gregorius,SS,491000,ARI
A.J. Pollock,CF,491000,ARI
Alfredo Marte,PH,490000,ARI
