player,pos,salary,team
Blake Beavan,SP,506700,SEA
Casper Wells,DNP,505400,SEA
Charlie Furbush,RP,504500,SEA
Jesus Montero,C,503300,SEA
Lucas Luetge,RP,495500,SEA
Stephen Pryor,RP,492200,SEA
Carter Capps,RP,491700,SEA
Brandon Maurer,SP,490000,SEA
Tim Lincecum,SP,22250000,SFN
Matt Cain,SP,20833333,SFN
Barry Zito,SP,2.00E+07,SFN
Hunter Pence,RF,13800000,SFN
Angel Pagan,CF,8250000,SFN
Marco Scutaro,2B,6666667,SFN
Jeremy Affeldt,RP,6.00E+06,SFN
Pablo Sandoval,3B,5700000,SFN
Ryan Vogelsong,SP,5.00E+06,SFN
Santiago Casilla,RP,4500000,SFN
Javier Lopez,RP,4250000,SFN
Buster Posey,C,3777777,SFN
Sergio Romo,RP,3500000,SFN
Andres Torres,LF,2.00E+06,SFN
Jose Mijares,RP,1800000,SFN
Gregor Blanco,LF,1350000,SFN
Madison Bumgarner,SP,950000,SFN
Joaquin Arias,3B,925000,SFN
Chad Gaudin,RP,750000,SFN
Guillermo Quiroz,C,575000,SFN
Brandon Belt,1B,531500,SFN
Brandon Crawford,SS,530000,SFN
Hector Sanchez,PH,502500,SFN
Tony Abreu,DNP,498000,SFN
George Kontos,RP,494500,SFN
Brett Pill,DNP,494000,SFN
Eric Surkamp,DNP,490500,SFN
Nick Noonan,PH,490000,SFN
Carlos Quentin,LF,9500000,SDN
Chase Headley,3B,8575000,SDN
Huston Street,RP,7.00E+06,SDN
Edinson Volquez,SP,5725000,SDN
Clayton Richard,SP,5240000,SDN
Luke Gregerson,RP,3200000,SDN
Cameron Maybin,CF,3100000,SDN
Jason Marquis,SP,3.00E+06,SDN
Nick Hundley,C,3.00E+06,SDN
Will Venable,CF,2675000,SDN
Chris Denorfia,RF,2.00E+06,SDN
Joe Thatcher,RP,1350000,SDN
Everth Cabrera,SS,1275000,SDN
Mark Kotsay,PH,1250000,SDN
Yasmani Grandal,DNP,1240000,SDN
Cory Luebke,DNP,1125000,SDN
Yonder Alonso,1B,1120000,SDN
John Baker,C,930000,SDN
Cody Ransom,3B,550000,SDN
Eric Stults,SP,507600,SDN
Anthony Bass,RP,503600,SDN
Jesus Guzman,PH,503200,SDN
Andrew Cashner,SP,500800,SDN
Tyson Ross,SP,500500,SDN
Logan Forsythe,DNP,499000,SDN
Dale Thayer,RP,498900,SDN
Brad Brach,RP,498200,SDN
Alexi Amarista,2B,497400,SDN
Joe Wieland,DNP,494300,SDN
James Darnell,DNP,493700,SDN
Casey Kelly,DNP,491400,SDN
Jedd Gyorko,2B,490000,SDN
Wandy Rodriguez,SP,8500000,PIT
A.J. Burnett,SP,8.00E+06,PIT
Russell Martin,C,7500000,PIT
Clint Barmes,SS,5500000,PIT
Andrew McCutchen,CF,4708333,PIT
Garrett Jones,1B,4500000,PIT
Neil Walker,2B,3300000,PIT
James McDonald,SP,3025000,PIT
Jeff Karstens,DNP,2500000,PIT
Jason Grilli,RP,2500000,PIT
Charlie Morton,DNP,2.00E+06,PIT
Gaby Sanchez,1B,1750000,PIT
John McDonald,SS,1500000,PIT
Jonathan Sanchez,SP,1375000,PIT
Brandon Inge,2B,1250000,PIT
Jose Tabata,RF,1166667,PIT
Francisco Liriano,SP,1.00E+06,PIT
Pedro Alvarez,3B,7.00E+05,PIT
Mark Melancon,RP,521000,PIT
Tony Watson,RP,505500,PIT
Michael McKenry,C,505000,PIT
Travis Snider,RF,505000,PIT
Jared Hughes,RP,504500,PIT
Josh Harrison,PH,503000,PIT
Chris Leroux,RP,502000,PIT
Jeanmar Gomez,RP,5.00E+05,PIT
Starling Marte,LF,5.00E+05,PIT
Jeff Locke,SP,497500,PIT
Justin Wilson,RP,493500,PIT
Chase d'Arnaud,DNP,493000,PIT
Cliff Lee,SP,2.50E+07,PHI
Cole Hamels,SP,20500000,PHI
Roy Halladay,SP,2.00E+07,PHI
Ryan Howard,1B,2.00E+07,PHI
Chase Utley,2B,15285714,PHI
Jonathan Papelbon,RP,1.30E+07,PHI
Jimmy Rollins,SS,1.10E+07,PHI
Michael Young,3B,7200000,PHI
Mike Adams,RP,5.00E+06,PHI
Carlos Ruiz,C,5.00E+06,PHI
Kyle Kendrick,SP,4500000,PHI
John Lannan,SP,2500000,PHI
Antonio Bastardo,RP,1400000,PHI
Laynce Nix,PH,1350000,PHI
Humberto Quintero,C,9.00E+05,PHI
Chad Durbin,RP,850000,PHI
Kevin Frandsen,PH,850000,PHI
Delmon Young,RF,750000,PHI
John Mayberry,RF,517000,PHI
Ben Revere,CF,515000,PHI
Raul Valdes,RP,505000,PHI
Domonic Brown,LF,5.00E+05,PHI
Jeremy Horst,RP,497000,PHI
Erik Kratz,C,496000,PHI
Phillippe Aumont,RP,490000,PHI
Ender Inciarte,DNP,490000,PHI
Freddy Galvis,PH,490000,PHI
Chris Young,CF,8700000,OAK
Yoenis Cespedes,CF,8500000,OAK
Coco Crisp,CF,7.00E+06,OAK
Brett Anderson,SP,5750000,OAK
Grant Balfour,RP,4500000,OAK
Seth Smith,LF,3675000,OAK
Bartolo Colon,SP,3.00E+06,OAK
Hiroyuki Nakajima,DNP,2875000,OAK
Jed Lowrie,SS,2400000,OAK
John Jaso,C,1800000,OAK
Brandon Moss,1B,1600000,OAK
Chris Resop,RP,1350000,OAK
Daric Barton,1B,1100000,OAK
Jerry Blevins,RP,1100000,OAK
Pat Neshek,RP,975000,OAK
Adam Rosales,SS,7.00E+05,OAK
Josh Reddick,RF,510000,OAK
Ryan Cook,RP,505000,OAK
Scott Sizemore,2B,5.00E+05,OAK
Tommy Milone,SP,495000,OAK
Evan Scribner,RP,495000,OAK
Jarrod Parker,SP,495000,OAK
Eric Sogard,2B,495000,OAK
Derek Norris,C,492500,OAK
Josh Donaldson,3B,492500,OAK
Dan Straily,SP,492500,OAK
Sean Doolittle,RP,492500,OAK
A.J. Griffin,SP,492500,OAK
Fernando Rodriguez,DNP,492000,OAK
Nathan Freiman,1B,490000,OAK
Alex Rodriguez,DNP,2.90E+07,NYA
Mark Teixeira,DNP,23125000,NYA
CC Sabathia,SP,2.30E+07,NYA
Derek Jeter,DNP,1.70E+07,NYA
Hiroki Kuroda,SP,1.50E+07,NYA
Curtis Granderson,DNP,1.50E+07,NYA
Robinson Cano,2B,1.50E+07,NYA
Kevin Youkilis,3B,1.20E+07,NYA
Andy Pettitte,SP,1.20E+07,NYA
Vernon Wells,LF,11500000,NYA
Mariano Rivera,RP,1.00E+07,NYA
Phil Hughes,SP,7150000,NYA
Ichiro Suzuki,RF,6500000,NYA
Boone Logan,RP,3150000,NYA
David Robertson,RP,3100000,NYA
Brett Gardner,CF,2850000,NYA
Travis Hafner,DH,2.00E+06,NYA
Joba Chamberlain,RP,1875000,NYA
Brennan Boesch,RF,1500000,NYA
Lyle Overbay,1B,1250000,NYA
Ben Francisco,DH,1100000,NYA
Shawn Kelley,RP,935000,NYA
Jayson Nix,3B,9.00E+05,NYA
Ivan Nova,SP,575600,NYA
Eduardo Nunez,SS,533300,NYA
Michael Pineda,DNP,528475,NYA
Francisco Cervelli,C,515350,NYA
Chris Stewart,C,515100,NYA
David Phelps,RP,512425,NYA
Cody Eppley,RP,510350,NYA
Adam Warren,RP,490525,NYA
Cesar Cabral,DNP,490000,NYA
Johan Santana,DNP,25500000,NYN
David Wright,3B,1.10E+07,NYN
Frank Francisco,DNP,6500000,NYN
John Buck,C,6500000,NYN
Shaun Marcum,SP,4.00E+06,NYN
Ike Davis,1B,3125000,NYN
Jon Niese,SP,3050000,NYN
Daniel Murphy,2B,2925000,NYN
Bobby Parnell,RP,1700000,NYN
LaTroy Hawkins,RP,1.00E+06,NYN
Brandon Lyon,RP,750000,NYN
Scott Atchison,RP,7.00E+05,NYN
Marlon Byrd,RF,7.00E+05,NYN
Greg Burke,RP,550000,NYN
Scott Rice,RP,535000,NYN
Dillon Gee,SP,527375,NYN
Lucas Duda,LF,519240,NYN
Ruben Tejada,SS,514701,NYN
Justin Turner,PH,504547,NYN
Jeremy Hefner,SP,500625,NYN
Mike Baxter,RF,500318,NYN
Matt Harvey,SP,498750,NYN
Kirk Nieuwenhuis,CF,498124,NYN
Jordany Valdespin,CF,496645,NYN
Jenrry Mejia,DNP,494925,NYN
Josh Edgin,RP,493500,NYN
Collin Cowgill,CF,493250,NYN
Jeurys Familia,RP,491750,NYN
Anthony Recker,C,490840,NYN
Joe Mauer,C,2.30E+07,MIN
Justin Morneau,1B,1.50E+07,MIN
Josh Willingham,LF,7.00E+06,MIN
Nick Blackburn,DNP,5500000,MIN
Kevin Correia,SP,4500000,MIN
Mike Pelfrey,SP,4.00E+06,MIN
Jamey Carroll,2B,3750000,MIN
Ryan Doumit,DH,3500000,MIN
Glen Perkins,RP,2500000,MIN
Jared Burton,RP,2050000,MIN
