"","cty","STATE","FIPS","staTeabb","county","matchfield"
"1","Aleutians East","Alaska","02013","AK","ALEUTIANS EAST","ALEUTIANS EAST AK"
"2","Aleutians West","Alaska","02016","AK","ALEUTIANS WEST","ALEUTIANS WEST AK"
"3","Anchorage","Alaska","02020","AK","ANCHORAGE","ANCHORAGE AK"
"4","Bethel","Alaska","02050","AK","BETHEL","BETHEL AK"
"5","Bristol Bay","Alaska","02060","AK","BRISTOL BAY","BRISTOL BAY AK"
"6","Denali","Alaska","02068","AK","DENALI","DENALI AK"
"7","Dillingham","Alaska","02070","AK","DILLINGHAM","DILLINGHAM AK"
"8","Fairbanks North Star","Alaska","02090","AK","FAIRBANKS NORTH STAR","FAIRBANKS NORTH STAR AK"
"9","Haines","Alaska","02100","AK","HAINES","HAINES AK"
"10","Juneau","Alaska","02110","AK","JUNEAU","JUNEAU AK"
"11","Kenai Peninsula","Alaska","02122","AK","KENAI PENINSULA","KENAI PENINSULA AK"
"12","Ketchikan Gateway","Alaska","02130","AK","KETCHIKAN GATEWAY","KETCHIKAN GATEWAY AK"
"13","Kodiak Island","Alaska","02150","AK","KODIAK ISLAND","KODIAK ISLAND AK"
"14","Lake and Peninsula","Alaska","02164","AK","LAKE AND PENINSULA","LAKE AND PENINSULA AK"
"15","Matanuska-Susitna","Alaska","02170","AK","MATANUSKA-SUSITNA","MATANUSKA-SUSITNA AK"
"16","Nome","Alaska","02180","AK","NOME","NOME AK"
"17","North Slope","Alaska","02185","AK","NORTH SLOPE","NORTH SLOPE AK"
"18","Northwest Arctic","Alaska","02188","AK","NORTHWEST ARCTIC","NORTHWEST ARCTIC AK"
"19","Prince of Wales-Outer Ketchikan","Alaska","02201","AK","PRINCE OF WALES-OUTER KETCHIKAN","PRINCE OF WALES-OUTER KETCHIKAN AK"
"20","Sitka","Alaska","02220","AK","SITKA","SITKA AK"
"21","Skagway-Hoonah-Angoon","Alaska","02232","AK","SKAGWAY-HOONAH-ANGOON","SKAGWAY-HOONAH-ANGOON AK"
"22","Southeast Fairbanks","Alaska","02240","AK","SOUTHEAST FAIRBANKS","SOUTHEAST FAIRBANKS AK"
"23","Valdez-Cordova","Alaska","02261","AK","VALDEZ-CORDOVA","VALDEZ-CORDOVA AK"
"24","Wade Hampton","Alaska","02270","AK","WADE HAMPTON","WADE HAMPTON AK"
"25","Wrangell-Petersburg","Alaska","02280","AK","WRANGELL-PETERSBURG","WRANGELL-PETERSBURG AK"
"26","Yakutat","Alaska","02282","AK","YAKUTAT","YAKUTAT AK"
"27","Yukon-Koyukuk","Alaska","02290","AK","YUKON-KOYUKUK","YUKON-KOYUKUK AK"
"28","Hawaii","Hawaii","15001","HI","HAWAII","HAWAII HI"
"29","Honolulu","Hawaii","15003","HI","HONOLULU","HONOLULU HI"
"30","Kalawao","Hawaii","15005","HI","KALAWAO","KALAWAO HI"
"31","Kauai","Hawaii","15007","HI","KAUAI","KAUAI HI"
"32","Maui","Hawaii","15009","HI","MAUI","MAUI HI"
"33","Autauga","Alabama","01001","AL","AUTAUGA","AUTAUGA AL"
"34","Baldwin","Alabama","01003","AL","BALDWIN","BALDWIN AL"
"35","Barbour","Alabama","01005","AL","BARBOUR","BARBOUR AL"
"36","Bibb","Alabama","01007","AL","BIBB","BIBB AL"
"37","Blount","Alabama","01009","AL","BLOUNT","BLOUNT AL"
"38","Bullock","Alabama","01011","AL","BULLOCK","BULLOCK AL"
"39","Butler","Alabama","01013","AL","BUTLER","BUTLER AL"
"40","Calhoun","Alabama","01015","AL","CALHOUN","CALHOUN AL"
"41","Chambers","Alabama","01017","AL","CHAMBERS","CHAMBERS AL"
"42","Cherokee","Alabama","01019","AL","CHEROKEE","CHEROKEE AL"
"43","Chilton","Alabama","01021","AL","CHILTON","CHILTON AL"
"44","Choctaw","Alabama","01023","AL","CHOCTAW","CHOCTAW AL"
"45","Clarke","Alabama","01025","AL","CLARKE","CLARKE AL"
"46","Clay","Alabama","01027","AL","CLAY","CLAY AL"
"47","Cleburne","Alabama","01029","AL","CLEBURNE","CLEBURNE AL"
"48","Coffee","Alabama","01031","AL","COFFEE","COFFEE AL"
"49","Colbert","Alabama","01033","AL","COLBERT","COLBERT AL"
"50","Conecuh","Alabama","01035","AL","CONECUH","CONECUH AL"
"51","Coosa","Alabama","01037","AL","COOSA","COOSA AL"
"52","Covington","Alabama","01039","AL","COVINGTON","COVINGTON AL"
"53","Crenshaw","Alabama","01041","AL","CRENSHAW","CRENSHAW AL"
"54","Cullman","Alabama","01043","AL","CULLMAN","CULLMAN AL"
"55","Dale","Alabama","01045","AL","DALE","DALE AL"
"56","Dallas","Alabama","01047","AL","DALLAS","DALLAS AL"
"57","DeKalb","Alabama","01049","AL","DEKALB","DEKALB AL"
"58","Elmore","Alabama","01051","AL","ELMORE","ELMORE AL"
"59","Escambia","Alabama","01053","AL","ESCAMBIA","ESCAMBIA AL"
"60","Etowah","Alabama","01055","AL","ETOWAH","ETOWAH AL"
"61","Fayette","Alabama","01057","AL","FAYETTE","FAYETTE AL"
"62","Franklin","Alabama","01059","AL","FRANKLIN","FRANKLIN AL"
"63","Geneva","Alabama","01061","AL","GENEVA","GENEVA AL"
"64","Greene","Alabama","01063","AL","GREENE","GREENE AL"
"65","Hale","Alabama","01065","AL","HALE","HALE AL"
"66","Henry","Alabama","01067","AL","HENRY","HENRY AL"
"67","Houston","Alabama","01069","AL","HOUSTON","HOUSTON AL"
"68","Jackson","Alabama","01071","AL","JACKSON","JACKSON AL"
"69","Jefferson","Alabama","01073","AL","JEFFERSON","JEFFERSON AL"
"70","Lamar","Alabama","01075","AL","LAMAR","LAMAR AL"
"71","Lauderdale","Alabama","01077","AL","LAUDERDALE","LAUDERDALE AL"
"72","Lawrence","Alabama","01079","AL","LAWRENCE","LAWRENCE AL"
"73","Lee","Alabama","01081","AL","LEE","LEE AL"
"74","Limestone","Alabama","01083","AL","LIMESTONE","LIMESTONE AL"
"75","Lowndes","Alabama","01085","AL","LOWNDES","LOWNDES AL"
"76","Macon","Alabama","01087","AL","MACON","MACON AL"
"77","Madison","Alabama","01089","AL","MADISON","MADISON AL"
"78","Marengo","Alabama","01091","AL","MARENGO","MARENGO AL"
"79","Marion","Alabama","01093","AL","MARION","MARION AL"
"80","Marshall","Alabama","01095","AL","MARSHALL","MARSHALL AL"
"81","Mobile","Alabama","01097","AL","MOBILE","MOBILE AL"
"82","Monroe","Alabama","01099","AL","MONROE","MONROE AL"
"83","Montgomery","Alabama","01101","AL","MONTGOMERY","MONTGOMERY AL"
"84","Morgan","Alabama","01103","AL","MORGAN","MORGAN AL"
"85","Perry","Alabama","01105","AL","PERRY","PERRY AL"
"86","Pickens","Alabama","01107","AL","PICKENS","PICKENS AL"
"87","Pike","Alabama","01109","AL","PIKE","PIKE AL"
"88","Randolph","Alabama","01111","AL","RANDOLPH","RANDOLPH AL"
"89","Russell","Alabama","01113","AL","RUSSELL","RUSSELL AL"
"90","St. Clair","Alabama","01115","AL","ST. CLAIR","SAINT CLAIR AL"
"91","Shelby","Alabama","01117","AL","SHELBY","SHELBY AL"
"92","Sumter","Alabama","01119","AL","SUMTER","SUMTER AL"
"93","Talladega","Alabama","01121","AL","TALLADEGA","TALLADEGA AL"
"94","Tallapoosa","Alabama","01123","AL","TALLAPOOSA","TALLAPOOSA AL"
"95","Tuscaloosa","Alabama","01125","AL","TUSCALOOSA","TUSCALOOSA AL"
"96","Walker","Alabama","01127","AL","WALKER","WALKER AL"
"97","Washington","Alabama","01129","AL","WASHINGTON","WASHINGTON AL"
"98","Wilcox","Alabama","01131","AL","WILCOX","WILCOX AL"
"99","Winston","Alabama","01133","AL","WINSTON","WINSTON AL"
"100","Apache","Arizona","04001","AZ","APACHE","APACHE AZ"
"101","Cochise","Arizona","04003","AZ","COCHISE","COCHISE AZ"
"102","Coconino","Arizona","04005","AZ","COCONINO","COCONINO AZ"
"103","Gila","Arizona","04007","AZ","GILA","GILA AZ"
"104","Graham","Arizona","04009","AZ","GRAHAM","GRAHAM AZ"
"105","Greenlee","Arizona","04011","AZ","GREENLEE","GREENLEE AZ"
"106","La Paz","Arizona","04012","AZ","LA PAZ","LA PAZ AZ"
"107","Maricopa","Arizona","04013","AZ","MARICOPA","MARICOPA AZ"
"108","Mohave","Arizona","04015","AZ","MOHAVE","MOHAVE AZ"
"109","Navajo","Arizona","04017","AZ","NAVAJO","NAVAJO AZ"
"110","Pima","Arizona","04019","AZ","PIMA","PIMA AZ"
"111","Pinal","Arizona","04021","AZ","PINAL","PINAL AZ"
"112","Santa Cruz","Arizona","04023","AZ","SANTA CRUZ","SANTA CRUZ AZ"
"113","Yavapai","Arizona","04025","AZ","YAVAPAI","YAVAPAI AZ"
"114","Yuma","Arizona","04027","AZ","YUMA","YUMA AZ"
"115","Arkansas","Arkansas","05001","AR","ARKANSAS","ARKANSAS AR"
"116","Ashley","Arkansas","05003","AR","ASHLEY","ASHLEY AR"
"117","Baxter","Arkansas","05005","AR","BAXTER","BAXTER AR"
"118","Benton","Arkansas","05007","AR","BENTON","BENTON AR"
"119","Boone","Arkansas","05009","AR","BOONE","BOONE AR"
"120","Bradley","Arkansas","05011","AR","BRADLEY","BRADLEY AR"
"121","Calhoun","Arkansas","05013","AR","CALHOUN","CALHOUN AR"
"122","Carroll","Arkansas","05015","AR","CARROLL","CARROLL AR"
"123","Chicot","Arkansas","05017","AR","CHICOT","CHICOT AR"
"124","Clark","Arkansas","05019","AR","CLARK","CLARK AR"
"125","Clay","Arkansas","05021","AR","CLAY","CLAY AR"
"126","Cleburne","Arkansas","05023","AR","CLEBURNE","CLEBURNE AR"
"127","Cleveland","Arkansas","05025","AR","CLEVELAND","CLEVELAND AR"
"128","Columbia","Arkansas","05027","AR","COLUMBIA","COLUMBIA AR"
"129","Conway","Arkansas","05029","AR","CONWAY","CONWAY AR"
"130","Craighead","Arkansas","05031","AR","CRAIGHEAD","CRAIGHEAD AR"
"131","Crawford","Arkansas","05033","AR","CRAWFORD","CRAWFORD AR"
"132","Crittenden","Arkansas","05035","AR","CRITTENDEN","CRITTENDEN AR"
"133","Cross","Arkansas","05037","AR","CROSS","CROSS AR"
"134","Dallas","Arkansas","05039","AR","DALLAS","DALLAS AR"
"135","Desha","Arkansas","05041","AR","DESHA","DESHA AR"
"136","Drew","Arkansas","05043","AR","DREW","DREW AR"
"137","Faulkner","Arkansas","05045","AR","FAULKNER","FAULKNER AR"
"138","Franklin","Arkansas","05047","AR","FRANKLIN","FRANKLIN AR"
"139","Fulton","Arkansas","05049","AR","FULTON","FULTON AR"
"140","Garland","Arkansas","05051","AR","GARLAND","GARLAND AR"
"141","Grant","Arkansas","05053","AR","GRANT","GRANT AR"
"142","Greene","Arkansas","05055","AR","GREENE","GREENE AR"
"143","Hempstead","Arkansas","05057","AR","HEMPSTEAD","HEMPSTEAD AR"
"144","Hot Spring","Arkansas","05059","AR","HOT SPRING","HOT SPRING AR"
"145","Howard","Arkansas","05061","AR","HOWARD","HOWARD AR"
"146","Independence","Arkansas","05063","AR","INDEPENDENCE","INDEPENDENCE AR"
"147","Izard","Arkansas","05065","AR","IZARD","IZARD AR"
"148","Jackson","Arkansas","05067","AR","JACKSON","JACKSON AR"
"149","Jefferson","Arkansas","05069","AR","JEFFERSON","JEFFERSON AR"
"150","Johnson","Arkansas","05071","AR","JOHNSON","JOHNSON AR"
"151","Lafayette","Arkansas","05073","AR","LAFAYETTE","LAFAYETTE AR"
"152","Lawrence","Arkansas","05075","AR","LAWRENCE","LAWRENCE AR"
"153","Lee","Arkansas","05077","AR","LEE","LEE AR"
"154","Lincoln","Arkansas","05079","AR","LINCOLN","LINCOLN AR"
"155","Little River","Arkansas","05081","AR","LITTLE RIVER","LITTLE RIVER AR"
"156","Logan","Arkansas","05083","AR","LOGAN","LOGAN AR"
"157","Lonoke","Arkansas","05085","AR","LONOKE","LONOKE AR"
"158","Madison","Arkansas","05087","AR","MADISON","MADISON AR"
"159","Marion","Arkansas","05089","AR","MARION","MARION AR"
"160","Miller","Arkansas","05091","AR","MILLER","MILLER AR"
"161","Mississippi","Arkansas","05093","AR","MISSISSIPPI","MISSISSIPPI AR"
"162","Monroe","Arkansas","05095","AR","MONROE","MONROE AR"
"163","Montgomery","Arkansas","05097","AR","MONTGOMERY","MONTGOMERY AR"
"164","Nevada","Arkansas","05099","AR","NEVADA","NEVADA AR"
"165","Newton","Arkansas","05101","AR","NEWTON","NEWTON AR"
"166","Ouachita","Arkansas","05103","AR","OUACHITA","OUACHITA AR"
"167","Perry","Arkansas","05105","AR","PERRY","PERRY AR"
"168","Phillips","Arkansas","05107","AR","PHILLIPS","PHILLIPS AR"
"169","Pike","Arkansas","05109","AR","PIKE","PIKE AR"
"170","Poinsett","Arkansas","05111","AR","POINSETT","POINSETT AR"
"171","Polk","Arkansas","05113","AR","POLK","POLK AR"
"172","Pope","Arkansas","05115","AR","POPE","POPE AR"
"173","Prairie","Arkansas","05117","AR","PRAIRIE","PRAIRIE AR"
"174","Pulaski","Arkansas","05119","AR","PULASKI","PULASKI AR"
"175","Randolph","Arkansas","05121","AR","RANDOLPH","RANDOLPH AR"
"176","St. Francis","Arkansas","05123","AR","ST. FRANCIS","SAINT FRANCIS AR"
"177","Saline","Arkansas","05125","AR","SALINE","SALINE AR"
"178","Scott","Arkansas","05127","AR","SCOTT","SCOTT AR"
"179","Searcy","Arkansas","05129","AR","SEARCY","SEARCY AR"
"180","Sebastian","Arkansas","05131","AR","SEBASTIAN","SEBASTIAN AR"
"181","Sevier","Arkansas","05133","AR","SEVIER","SEVIER AR"
"182","Sharp","Arkansas","05135","AR","SHARP","SHARP AR"
"183","Stone","Arkansas","05137","AR","STONE","STONE AR"
"184","Union","Arkansas","05139","AR","UNION","UNION AR"
"185","Van Buren","Arkansas","05141","AR","VAN BUREN","VAN BUREN AR"
"186","Washington","Arkansas","05143","AR","WASHINGTON","WASHINGTON AR"
"187","White","Arkansas","05145","AR","WHITE","WHITE AR"
"188","Woodruff","Arkansas","05147","AR","WOODRUFF","WOODRUFF AR"
"189","Yell","Arkansas","05149","AR","YELL","YELL AR"
"190","Alameda","California","06001","CA","ALAMEDA","ALAMEDA CA"
"191","Alpine","California","06003","CA","ALPINE","ALPINE CA"
"192","Amador","California","06005","CA","AMADOR","AMADOR CA"
"193","Butte","California","06007","CA","BUTTE","BUTTE CA"
"194","Calaveras","California","06009","CA","CALAVERAS","CALAVERAS CA"
"195","Colusa","California","06011","CA","COLUSA","COLUSA CA"
"196","Contra Costa","California","06013","CA","CONTRA COSTA","CONTRA COSTA CA"
"197","Del Norte","California","06015","CA","DEL NORTE","DEL NORTE CA"
"198","El Dorado","California","06017","CA","EL DORADO","EL DORADO CA"
"199","Fresno","California","06019","CA","FRESNO","FRESNO CA"
"200","Glenn","California","06021","CA","GLENN","GLENN CA"
"201","Humboldt","California","06023","CA","HUMBOLDT","HUMBOLDT CA"
"202","Imperial","California","06025","CA","IMPERIAL","IMPERIAL CA"
"203","Inyo","California","06027","CA","INYO","INYO CA"
"204","Kern","California","06029","CA","KERN","KERN CA"
"205","Kings","California","06031","CA","KINGS","KINGS CA"
"206","Lake","California","06033","CA","LAKE","LAKE CA"
"207","Lassen","California","06035","CA","LASSEN","LASSEN CA"
"208","Los Angeles","California","06037","CA","LOS ANGELES","LOS ANGELES CA"
"209","Madera","California","06039","CA","MADERA","MADERA CA"
"210","Marin","California","06041","CA","MARIN","MARIN CA"
"211","Mariposa","California","06043","CA","MARIPOSA","MARIPOSA CA"
"212","Mendocino","California","06045","CA","MENDOCINO","MENDOCINO CA"
"213","Merced","California","06047","CA","MERCED","MERCED CA"
"214","Modoc","California","06049","CA","MODOC","MODOC CA"
"215","Mono","California","06051","CA","MONO","MONO CA"
"216","Monterey","California","06053","CA","MONTEREY","MONTEREY CA"
"217","Napa","California","06055","CA","NAPA","NAPA CA"
"218","Nevada","California","06057","CA","NEVADA","NEVADA CA"
"219","Orange","California","06059","CA","ORANGE","ORANGE CA"
"220","Placer","California","06061","CA","PLACER","PLACER CA"
"221","Plumas","California","06063","CA","PLUMAS","PLUMAS CA"
"222","Riverside","California","06065","CA","RIVERSIDE","RIVERSIDE CA"
"223","Sacramento","California","06067","CA","SACRAMENTO","SACRAMENTO CA"
"224","San Benito","California","06069","CA","SAN BENITO","SAN BENITO CA"
"225","San Bernardino","California","06071","CA","SAN BERNARDINO","SAN BERNARDINO CA"
"226","San Diego","California","06073","CA","SAN DIEGO","SAN DIEGO CA"
"227","San Francisco","California","06075","CA","SAN FRANCISCO","SAN FRANCISCO CA"
"228","San Joaquin","California","06077","CA","SAN JOAQUIN","SAN JOAQUIN CA"
"229","San Luis Obispo","California","06079","CA","SAN LUIS OBISPO","SAN LUIS OBISPO CA"
"230","San Mateo","California","06081","CA","SAN MATEO","SAN MATEO CA"
"231","Santa Barbara","California","06083","CA","SANTA BARBARA","SANTA BARBARA CA"
"232","Santa Clara","California","06085","CA","SANTA CLARA","SANTA CLARA CA"
"233","Santa Cruz","California","06087","CA","SANTA CRUZ","SANTA CRUZ CA"
"234","Shasta","California","06089","CA","SHASTA","SHASTA CA"
"235","Sierra","California","06091","CA","SIERRA","SIERRA CA"
"236","Siskiyou","California","06093","CA","SISKIYOU","SISKIYOU CA"
"237","Solano","California","06095","CA","SOLANO","SOLANO CA"
"238","Sonoma","California","06097","CA","SONOMA","SONOMA CA"
"239","Stanislaus","California","06099","CA","STANISLAUS","STANISLAUS CA"
"240","Sutter","California","06101","CA","SUTTER","SUTTER CA"
"241","Tehama","California","06103","CA","TEHAMA","TEHAMA CA"
"242","Trinity","California","06105","CA","TRINITY","TRINITY CA"
"243","Tulare","California","06107","CA","TULARE","TULARE CA"
"244","Tuolumne","California","06109","CA","TUOLUMNE","TUOLUMNE CA"
"245","Ventura","California","06111","CA","VENTURA","VENTURA CA"
"246","Yolo","California","06113","CA","YOLO","YOLO CA"
"247","Yuba","California","06115","CA","YUBA","YUBA CA"
"248","Adams","Colorado","08001","CO","ADAMS","ADAMS CO"
"249","Alamosa","Colorado","08003","CO","ALAMOSA","ALAMOSA CO"
"250","Arapahoe","Colorado","08005","CO","ARAPAHOE","ARAPAHOE CO"
"251","Archuleta","Colorado","08007","CO","ARCHULETA","ARCHULETA CO"
"252","Baca","Colorado","08009","CO","BACA","BACA CO"
"253","Bent","Colorado","08011","CO","BENT","BENT CO"
"254","Boulder","Colorado","08013","CO","BOULDER","BOULDER CO"
"255","Broomfield","Colorado","08014","CO","BROOMFIELD","BROOMFIELD CO"
"256","Chaffee","Colorado","08015","CO","CHAFFEE","CHAFFEE CO"
"257","Cheyenne","Colorado","08017","CO","CHEYENNE","CHEYENNE CO"
"258","Clear Creek","Colorado","08019","CO","CLEAR CREEK","CLEAR CREEK CO"
"259","Conejos","Colorado","08021","CO","CONEJOS","CONEJOS CO"
"260","Costilla","Colorado","08023","CO","COSTILLA","COSTILLA CO"
"261","Crowley","Colorado","08025","CO","CROWLEY","CROWLEY CO"
"262","Custer","Colorado","08027","CO","CUSTER","CUSTER CO"
"263","Delta","Colorado","08029","CO","DELTA","DELTA CO"
"264","Denver","Colorado","08031","CO","DENVER","DENVER CO"
"265","Dolores","Colorado","08033","CO","DOLORES","DOLORES CO"
"266","Douglas","Colorado","08035","CO","DOUGLAS","DOUGLAS CO"
"267","Eagle","Colorado","08037","CO","EAGLE","EAGLE CO"
"268","Elbert","Colorado","08039","CO","ELBERT","ELBERT CO"
"269","El Paso","Colorado","08041","CO","EL PASO","EL PASO CO"
"270","Fremont","Colorado","08043","CO","FREMONT","FREMONT CO"
"271","Garfield","Colorado","08045","CO","GARFIELD","GARFIELD CO"
"272","Gilpin","Colorado","08047","CO","GILPIN","GILPIN CO"
"273","Grand","Colorado","08049","CO","GRAND","GRAND CO"
"274","Gunnison","Colorado","08051","CO","GUNNISON","GUNNISON CO"
"275","Hinsdale","Colorado","08053","CO","HINSDALE","HINSDALE CO"
"276","Huerfano","Colorado","08055","CO","HUERFANO","HUERFANO CO"
"277","Jackson","Colorado","08057","CO","JACKSON","JACKSON CO"
"278","Jefferson","Colorado","08059","CO","JEFFERSON","JEFFERSON CO"
"279","Kiowa","Colorado","08061","CO","KIOWA","KIOWA CO"
"280","Kit Carson","Colorado","08063","CO","KIT CARSON","KIT CARSON CO"
"281","Lake","Colorado","08065","CO","LAKE","LAKE CO"
"282","La Plata","Colorado","08067","CO","LA PLATA","LA PLATA CO"
"283","Larimer","Colorado","08069","CO","LARIMER","LARIMER CO"
"284","Las Animas","Colorado","08071","CO","LAS ANIMAS","LAS ANIMAS CO"
"285","Lincoln","Colorado","08073","CO","LINCOLN","LINCOLN CO"
"286","Logan","Colorado","08075","CO","LOGAN","LOGAN CO"
"287","Mesa","Colorado","08077","CO","MESA","MESA CO"
"288","Mineral","Colorado","08079","CO","MINERAL","MINERAL CO"
"289","Moffat","Colorado","08081","CO","MOFFAT","MOFFAT CO"
"290","Montezuma","Colorado","08083","CO","MONTEZUMA","MONTEZUMA CO"
"291","Montrose","Colorado","08085","CO","MONTROSE","MONTROSE CO"
"292","Morgan","Colorado","08087","CO","MORGAN","MORGAN CO"
"293","Otero","Colorado","08089","CO","OTERO","OTERO CO"
"294","Ouray","Colorado","08091","CO","OURAY","OURAY CO"
"295","Park","Colorado","08093","CO","PARK","PARK CO"
"296","Phillips","Colorado","08095","CO","PHILLIPS","PHILLIPS CO"
"297","Pitkin","Colorado","08097","CO","PITKIN","PITKIN CO"
"298","Prowers","Colorado","08099","CO","PROWERS","PROWERS CO"
"299","Pueblo","Colorado","08101","CO","PUEBLO","PUEBLO CO"
"300","Rio Blanco","Colorado","08103","CO","RIO BLANCO","RIO BLANCO CO"
"301","Rio Grande","Colorado","08105","CO","RIO GRANDE","RIO GRANDE CO"
"302","Routt","Colorado","08107","CO","ROUTT","ROUTT CO"
"303","Saguache","Colorado","08109","CO","SAGUACHE","SAGUACHE CO"
"304","San Juan","Colorado","08111","CO","SAN JUAN","SAN JUAN CO"
"305","San Miguel","Colorado","08113","CO","SAN MIGUEL","SAN MIGUEL CO"
"306","Sedgwick","Colorado","08115","CO","SEDGWICK","SEDGWICK CO"
"307","Summit","Colorado","08117","CO","SUMMIT","SUMMIT CO"
"308","Teller","Colorado","08119","CO","TELLER","TELLER CO"
"309","Washington","Colorado","08121","CO","WASHINGTON","WASHINGTON CO"
"310","Weld","Colorado","08123","CO","WELD","WELD CO"
"311","Yuma","Colorado","08125","CO","YUMA","YUMA CO"
"312","Fairfield","Connecticut","09001","CT","FAIRFIELD","FAIRFIELD CT"
"313","Hartford","Connecticut","09003","CT","HARTFORD","HARTFORD CT"
"314","Litchfield","Connecticut","09005","CT","LITCHFIELD","LITCHFIELD CT"
"315","Middlesex","Connecticut","09007","CT","MIDDLESEX","MIDDLESEX CT"
"316","New Haven","Connecticut","09009","CT","NEW HAVEN","NEW HAVEN CT"
"317","New London","Connecticut","09011","CT","NEW LONDON","NEW LONDON CT"
"318","Tolland","Connecticut","09013","CT","TOLLAND","TOLLAND CT"
"319","Windham","Connecticut","09015","CT","WINDHAM","WINDHAM CT"
"320","Kent","Delaware","10001","DE","KENT","KENT DE"
"321","New Castle","Delaware","10003","DE","NEW CASTLE","NEW CASTLE DE"
"322","Sussex","Delaware","10005","DE","SUSSEX","SUSSEX DE"
"323","District of Columbia","District of Columbia","11001",NA,"DISTRICT OF COLUMBIA","DISTRICT OF COLUMBIA NA"
"324","Alachua","Florida","12001","FL","ALACHUA","ALACHUA FL"
"325","Baker","Florida","12003","FL","BAKER","BAKER FL"
"326","Bay","Florida","12005","FL","BAY","BAY FL"
"327","Bradford","Florida","12007","FL","BRADFORD","BRADFORD FL"
"328","Brevard","Florida","12009","FL","BREVARD","BREVARD FL"
"329","Broward","Florida","12011","FL","BROWARD","BROWARD FL"
"330","Calhoun","Florida","12013","FL","CALHOUN","CALHOUN FL"
"331","Charlotte","Florida","12015","FL","CHARLOTTE","CHARLOTTE FL"
"332","Citrus","Florida","12017","FL","CITRUS","CITRUS FL"
"333","Clay","Florida","12019","FL","CLAY","CLAY FL"
"334","Collier","Florida","12021","FL","COLLIER","COLLIER FL"
"335","Columbia","Florida","12023","FL","COLUMBIA","COLUMBIA FL"
"336","DeSoto","Florida","12027","FL","DESOTO","DESOTO FL"
"337","Dixie","Florida","12029","FL","DIXIE","DIXIE FL"
"338","Duval","Florida","12031","FL","DUVAL","DUVAL FL"
"339","Escambia","Florida","12033","FL","ESCAMBIA","ESCAMBIA FL"
"340","Flagler","Florida","12035","FL","FLAGLER","FLAGLER FL"
"341","Franklin","Florida","12037","FL","FRANKLIN","FRANKLIN FL"
"342","Gadsden","Florida","12039","FL","GADSDEN","GADSDEN FL"
"343","Gilchrist","Florida","12041","FL","GILCHRIST","GILCHRIST FL"
"344","Glades","Florida","12043","FL","GLADES","GLADES FL"
"345","Gulf","Florida","12045","FL","GULF","GULF FL"
"346","Hamilton","Florida","12047","FL","HAMILTON","HAMILTON FL"
"347","Hardee","Florida","12049","FL","HARDEE","HARDEE FL"
"348","Hendry","Florida","12051","FL","HENDRY","HENDRY FL"
"349","Hernando","Florida","12053","FL","HERNANDO","HERNANDO FL"
"350","Highlands","Florida","12055","FL","HIGHLANDS","HIGHLANDS FL"
"351","Hillsborough","Florida","12057","FL","HILLSBOROUGH","HILLSBOROUGH FL"
"352","Holmes","Florida","12059","FL","HOLMES","HOLMES FL"
"353","Indian River","Florida","12061","FL","INDIAN RIVER","INDIAN RIVER FL"
"354","Jackson","Florida","12063","FL","JACKSON","JACKSON FL"
"355","Jefferson","Florida","12065","FL","JEFFERSON","JEFFERSON FL"
"356","Lafayette","Florida","12067","FL","LAFAYETTE","LAFAYETTE FL"
"357","Lake","Florida","12069","FL","LAKE","LAKE FL"
"358","Lee","Florida","12071","FL","LEE","LEE FL"
"359","Leon","Florida","12073","FL","LEON","LEON FL"
"360","Levy","Florida","12075","FL","LEVY","LEVY FL"
"361","Liberty","Florida","12077","FL","LIBERTY","LIBERTY FL"
"362","Madison","Florida","12079","FL","MADISON","MADISON FL"
"363","Manatee","Florida","12081","FL","MANATEE","MANATEE FL"
"364","Marion","Florida","12083","FL","MARION","MARION FL"
"365","Martin","Florida","12085","FL","MARTIN","MARTIN FL"
"366","Miami-Dade","Florida","12086","FL","MIAMI-DADE","MIAMI-DADE FL"
"367","Monroe","Florida","12087","FL","MONROE","MONROE FL"
"368","Nassau","Florida","12089","FL","NASSAU","NASSAU FL"
"369","Okaloosa","Florida","12091","FL","OKALOOSA","OKALOOSA FL"
"370","Okeechobee","Florida","12093","FL","OKEECHOBEE","OKEECHOBEE FL"
"371","Orange","Florida","12095","FL","ORANGE","ORANGE FL"
"372","Osceola","Florida","12097","FL","OSCEOLA","OSCEOLA FL"
"373","Palm Beach","Florida","12099","FL","PALM BEACH","PALM BEACH FL"
"374","Pasco","Florida","12101","FL","PASCO","PASCO FL"
"375","Pinellas","Florida","12103","FL","PINELLAS","PINELLAS FL"
"376","Polk","Florida","12105","FL","POLK","POLK FL"
"377","Putnam","Florida","12107","FL","PUTNAM","PUTNAM FL"
"378","St. Johns","Florida","12109","FL","ST. JOHNS","SAINT JOHNS FL"
"379","St. Lucie","Florida","12111","FL","ST. LUCIE","SAINT LUCIE FL"
"380","Santa Rosa","Florida","12113","FL","SANTA ROSA","SANTA ROSA FL"
"381","Sarasota","Florida","12115","FL","SARASOTA","SARASOTA FL"
"382","Seminole","Florida","12117","FL","SEMINOLE","SEMINOLE FL"
"383","Sumter","Florida","12119","FL","SUMTER","SUMTER FL"
"384","Suwannee","Florida","12121","FL","SUWANNEE","SUWANNEE FL"
"385","Taylor","Florida","12123","FL","TAYLOR","TAYLOR FL"
