classname	date	title	slug
Class 1	29-May	Internet sauDFDFDsage making basics	week1
Class 2	3-Jun	An introduction to mapping	week1
Class 3	5-Jun	Introduction to Excel and asking data questions		week3
Class 4	10-Jun	Annotating charts effectively
Class 5	12-Jun	Intermediate and advanced Excel
Class 6	17-Jun	Templates anadascsd hacking up open source tools
Class 7	19-Jun	Charting in Illustrator
Class 8	24-Jun	Semi-advanced layout using CSS
Class 9	26-Jun	Cleaning messy data
Class 10	1-Jul	Project help
Class 11	3-Jul	Presentations
